"Date","N1","N2","N3","N4","N5","N6","N7"
1988-01-04,3,42,28,36,48,37,NA
1988-01-07,10,26,29,43,4,31,NA
1988-01-11,24,30,40,45,48,4,NA
1988-01-14,1,6,27,31,39,46,NA
1988-01-18,10,21,29,32,44,45,NA
1988-01-21,16,21,30,35,7,27,NA
1988-01-25,1,5,19,37,45,18,NA
1988-01-28,7,16,44,4,13,39,NA
1988-02-01,15,38,36,37,39,20,NA
1988-02-04,10,16,32,42,49,4,NA
1988-02-08,12,29,42,25,19,36,NA
1988-02-11,1,15,32,47,26,36,NA
1988-02-15,14,49,29,4,18,40,NA
1988-02-22,8,34,15,2,11,13,NA
1988-02-25,7,29,21,4,11,22,NA
1988-02-29,24,47,10,27,36,39,NA
1988-03-03,8,10,15,25,19,31,NA
1988-03-07,6,21,25,38,20,39,NA
1988-03-10,3,25,29,1,9,20,NA
1988-03-14,8,12,15,41,14,28,NA
1988-03-17,6,12,26,29,34,32,NA
1988-03-21,10,29,42,8,31,48,NA
1988-03-24,7,29,35,13,22,11,NA
1988-03-28,1,3,26,41,25,9,NA
1988-03-31,15,21,49,40,45,28,NA
1988-04-04,12,24,29,37,40,45,NA
1988-04-07,6,7,14,30,36,22,NA
1988-04-11,8,43,29,13,45,48,NA
1988-04-14,17,30,41,23,2,46,NA
1988-04-18,16,24,33,44,23,45,NA
1988-04-21,16,23,1,11,40,46,NA
1988-04-25,8,16,34,35,5,9,NA
1988-04-28,24,25,30,33,13,48,NA
1988-05-02,6,23,24,25,47,44,NA
1988-05-05,6,10,12,32,16,48,NA
1988-05-09,21,24,32,38,45,11,NA
1988-05-12,17,29,42,2,28,9,NA
1988-05-16,1,6,8,21,4,22,NA
1988-05-19,5,25,35,44,19,31,NA
1988-05-23,15,44,47,12,9,48,NA
1988-05-26,7,12,38,28,39,37,NA
1988-05-30,14,24,25,33,36,40,NA
1988-06-02,6,10,29,34,42,18,37
1988-06-06,5,16,29,38,39,40,22
1988-06-09,6,16,30,13,19,27,36
1988-06-13,12,30,25,2,9,31,40
1988-06-16,6,16,29,32,9,22,31
1988-06-20,1,14,23,34,2,19,11
1988-06-23,16,32,2,27,31,37,4
1988-06-27,3,14,24,34,33,13,37
1988-06-30,10,17,21,35,22,39,18
1988-07-04,16,34,7,11,19,22,28
1988-07-07,5,17,26,11,19,28,2
1988-07-11,1,12,29,2,11,19,28
1988-07-14,7,12,24,38,21,11,37
1988-07-18,5,12,23,29,34,11,18
1988-07-21,1,5,21,24,42,12,39
1988-07-25,10,14,16,23,1,13,39
1988-07-28,1,8,12,41,24,28,40
1988-08-01,8,12,24,26,38,10,40
1988-08-04,6,24,26,33,29,2,9
1988-08-08,12,30,38,42,4,19,31
1988-08-11,25,33,35,41,42,28,39
1988-08-15,10,14,23,38,2,28,40
1988-08-18,6,24,32,35,13,31,27
1988-08-22,5,32,35,1,9,20,36
1988-08-25,1,7,10,12,14,16,13
1988-08-29,12,14,24,34,41,37,4
1988-09-01,10,42,9,13,18,19,2
1988-09-05,1,14,24,35,41,11,31
1988-09-08,1,12,21,23,29,27,39
1988-09-12,30,32,33,9,28,40,22
1988-09-15,8,16,17,32,23,11,13
1988-09-19,3,29,42,16,4,11,31
1988-09-22,1,15,41,10,9,19,36
1988-09-26,14,24,42,17,4,18,31
1988-09-29,1,24,35,38,3,22,28
1988-10-03,6,8,16,17,32,2,20
1988-10-06,6,10,16,29,35,42,19
1988-10-10,6,10,15,35,12,36,37
1988-10-13,5,8,10,15,34,41,12
1988-10-17,8,15,32,38,11,27,39
1988-10-20,10,29,42,4,11,39,40
1988-10-24,5,16,32,33,26,9,22
1988-10-27,6,23,16,11,18,19,40
1988-10-31,23,29,34,12,13,18,19
1988-11-03,1,21,34,10,18,20,27
1988-11-07,14,42,29,2,4,13,40
1988-11-10,17,38,42,32,27,31,37
1988-11-14,1,3,34,9,22,36,4
1988-11-17,12,25,26,30,35,22,39
1988-11-21,7,30,2,4,11,19,27
1988-11-24,34,35,38,24,2,13,27
1988-11-28,10,25,6,2,9,20,37
1988-12-01,3,8,25,34,13,22,18
1988-12-05,6,14,17,23,24,26,32
1988-12-08,23,32,41,16,13,36,37
1988-12-12,24,30,42,25,4,11,37
1988-12-15,6,8,10,16,32,35,19
1988-12-19,3,5,15,34,2,9,39
1988-12-22,12,32,29,19,27,28,31
1988-12-26,15,21,42,18,27,28,36
1988-12-29,14,16,26,35,3,18,31
1989-01-02,1,3,6,10,30,8,13
1989-01-05,12,15,30,33,38,9,27
1989-01-09,3,5,10,26,6,22,40
1989-01-12,33,34,11,22,27,36,39
1989-01-16,1,10,12,16,34,39,37
1989-01-19,6,26,42,21,19,20,31
1989-01-23,17,21,29,38,41,18,40
1989-01-26,15,26,30,32,38,4,39
1989-01-30,3,12,32,24,28,31,40
1989-02-02,8,16,34,19,20,39,2
1989-02-09,6,8,16,30,32,37,40
1989-02-13,12,21,24,30,20,40,9
1989-02-16,14,16,33,4,13,20,2
1989-02-20,21,33,35,16,9,18,31
1989-02-23,1,3,26,4,20,27,36
1989-02-27,23,29,30,41,11,27,40
1989-03-02,14,25,32,33,34,15,40
1989-03-06,8,29,32,20,22,28,39
1989-03-09,7,8,21,29,13,37,27
1989-03-13,6,10,33,35,23,2,40
1989-03-16,25,29,30,35,19,20,22
1989-03-20,17,21,23,25,35,7,37
1989-03-23,12,15,42,5,18,19,31
1989-03-27,14,16,29,32,25,4,31
1989-03-30,24,35,38,21,4,19,37
1989-04-03,10,12,15,42,24,18,31
1989-04-06,17,21,24,19,20,40,37
1989-04-10,7,26,30,32,11,40,31
1989-04-13,3,5,24,38,41,40,19
1989-04-17,16,17,25,33,14,27,28
1989-04-20,1,21,30,27,36,37,28
1989-04-24,8,12,15,1,11,28,31
1989-04-27,21,33,9,27,37,39,40
1989-05-01,12,14,34,33,4,22,37
1989-05-04,1,6,8,12,24,17,11
1989-05-08,6,23,30,41,42,26,36
1989-05-11,10,14,26,33,41,19,27
1989-05-15,10,26,32,42,25,11,20
1989-05-18,5,7,10,24,25,42,23
1989-05-22,12,33,23,2,11,28,37
1989-05-25,12,42,29,19,20,27,40
1989-05-29,10,25,23,2,4,19,36
1989-06-01,6,23,26,9,11,31,18
1989-06-05,3,12,15,30,33,26,11
1989-06-08,35,42,17,13,19,27,40
1989-06-12,3,7,8,21,30,13,19
1989-06-15,26,29,38,1,9,19,22
1989-06-19,6,17,29,32,4,19,13
1989-06-22,29,32,42,8,4,31,36
1989-06-26,12,14,15,16,23,35,42
1989-06-29,5,16,30,34,38,1,40
1989-07-03,3,7,26,4,9,28,40
1989-07-06,1,6,16,34,7,28,40
1989-07-10,21,30,42,6,13,28,36
1989-07-13,1,16,32,34,27,36,31
1989-07-17,3,12,25,29,30,42,10
1989-07-20,8,26,29,32,4,18,19
1989-07-24,12,16,21,32,2,39,40
1989-07-27,8,32,33,4,9,40,39
1989-07-31,14,23,26,34,22,36,19
1989-08-03,10,16,30,34,8,11,39
1989-08-07,3,14,15,32,42,23,9
1989-08-10,1,3,12,17,15,13,27
1989-08-14,3,15,16,34,8,9,20
1989-08-17,24,32,4,11,20,31,28
1989-08-21,17,21,30,11,19,39,22
1989-08-24,6,7,15,29,42,39,18
1989-08-28,7,10,17,24,23,11,39
1989-08-31,12,16,11,20,22,28,39
1989-09-04,3,10,38,11,13,27,22
1989-09-07,6,10,25,38,42,27,40
1989-09-11,5,17,32,33,24,18,39
1989-09-14,3,15,30,33,34,12,9
1989-09-18,12,26,42,41,13,22,31
1989-09-21,5,25,33,26,13,19,28
1989-09-25,6,7,12,21,23,26,20
1989-09-28,8,10,23,42,1,9,19
1989-10-02,12,30,10,9,13,37,39
1989-10-05,7,16,41,4,27,37,36
1989-10-09,17,21,15,4,9,31,36
1989-10-12,3,10,17,29,42,20,31
1989-10-16,14,30,35,41,4,11,18
1989-10-19,15,32,41,42,25,13,36
1989-10-23,6,12,35,42,4,22,13
1989-10-26,1,7,8,16,21,2,31
1989-10-30,1,8,17,42,4,31,13
1989-11-02,16,29,33,41,11,22,39
1989-11-06,5,10,30,35,12,2,27
1989-11-09,15,25,32,6,4,36,40
1989-11-13,6,42,5,11,13,20,28
1989-11-16,10,12,15,33,35,1,19
1989-11-20,8,15,17,42,9,27,39
1989-11-23,12,14,30,34,9,31,40
1989-11-27,17,23,29,19,28,39,36
1989-11-30,1,3,15,24,30,13,22
1989-12-04,1,14,24,30,34,20,2
1989-12-07,3,26,29,41,11,13,31
1989-12-11,23,29,42,20,28,31,9
1989-12-14,16,30,41,2,11,18,37
1989-12-18,5,23,30,38,7,27,36
1989-12-21,14,17,26,2,13,20,19
1989-12-25,6,14,21,41,24,18,19
1989-12-28,5,12,9,11,19,27,36
1990-01-01,10,14,23,25,4,11,37
1990-01-04,21,24,35,42,34,18,20
1990-01-08,7,15,24,29,38,31,18
1990-01-11,21,33,17,11,20,27,31
1990-01-15,3,14,23,24,2,39,40
1990-01-18,10,15,21,3,9,27,28
1990-01-22,25,41,2,18,20,31,37
1990-01-25,1,3,12,29,33,36,28
1990-02-01,1,10,12,24,35,18,11
1990-02-05,8,14,30,18,19,20,27
1990-02-08,8,21,24,32,12,2,39
1990-02-12,6,7,34,41,42,13,37
1990-02-15,1,17,32,33,14,4,22
1990-02-19,34,41,9,18,36,37,40
1990-02-22,5,6,16,41,27,40,20
1990-02-26,3,24,34,19,20,22,2
1990-03-01,14,15,35,2,28,40,31
1990-03-05,23,29,35,25,4,22,31
1990-03-08,6,8,15,25,42,14,39
1990-03-12,6,26,7,9,11,31,40
1990-03-15,12,29,34,18,28,39,27
1990-03-19,26,41,11,18,31,40,36
1990-03-22,6,21,26,35,20,40,13
1990-03-26,5,8,10,14,20,28,37
1990-03-29,6,8,24,26,29,42,37
1990-04-02,12,29,32,38,5,9,18
1990-04-05,1,8,29,23,2,22,39
1990-04-09,3,16,21,33,41,9,18
1990-04-12,8,12,16,17,23,21,39
1990-04-16,8,15,29,30,34,36,31
1990-04-19,5,6,35,24,4,13,27
1990-04-23,1,3,7,32,41,2,31
1990-04-26,3,7,34,29,2,9,27
1990-04-30,6,10,12,17,1,19,40
1990-05-03,3,24,34,38,13,18,39
1990-05-07,7,10,30,41,25,18,27
1990-05-10,10,15,41,20,36,40,39
1990-05-14,1,10,14,34,38,24,31
1990-05-17,15,25,34,16,9,31,36
1990-05-21,1,3,6,4,27,28,19
1990-05-24,3,38,24,4,13,28,37
1990-05-28,6,12,14,25,33,17,28
1990-05-31,1,16,24,7,2,19,27
1990-06-04,8,26,33,38,41,1,37
1990-06-07,12,30,33,38,28,39,31
1990-06-11,1,3,8,33,41,15,27
1990-06-14,6,21,32,33,38,27,13
1990-06-18,7,26,34,2,13,18,11
1990-06-21,1,5,26,41,4,18,28
1990-06-25,12,23,30,34,17,18,28
1990-06-28,7,15,32,41,29,18,39
1990-07-02,16,24,11,20,28,36,40
1990-07-05,32,42,17,13,18,28,39
1990-07-09,3,42,21,18,27,28,31
1990-07-12,6,8,12,21,33,19,20
1990-07-16,6,15,30,38,29,19,22
1990-07-19,3,16,21,25,30,42,11
1990-07-23,8,10,14,15,2,9,37
1990-07-26,15,24,29,38,7,4,37
1990-07-30,14,23,24,19,28,39,2
1990-08-02,1,3,41,12,4,18,31
1990-08-06,32,33,42,34,13,20,22
1990-08-09,6,8,12,25,41,29,13
1990-08-13,8,14,17,29,34,23,37
1990-08-16,1,5,17,26,30,18,22
1990-08-20,10,17,29,35,38,42,20
1990-08-23,10,26,35,15,11,20,37
1990-08-27,21,34,38,41,19,39,4
1990-08-30,1,24,25,26,30,23,13
1990-09-03,12,15,26,23,4,11,40
1990-09-06,6,33,34,42,16,11,18
1990-09-10,1,6,26,30,2,22,39
1990-09-13,3,6,15,26,35,12,27
1990-09-17,17,24,26,38,14,13,20
1990-09-20,3,5,8,14,15,24,40
1990-09-24,6,17,24,4,18,20,31
1990-09-27,6,14,23,24,42,29,39
1990-10-01,26,2,9,20,31,36,11
1990-10-04,1,7,8,26,34,41,35
1990-10-08,5,6,7,15,25,14,37
1990-10-11,6,12,16,17,21,38,36
1990-10-15,6,7,23,30,41,39,22
1990-10-18,1,7,26,29,33,2,13
1990-10-22,7,12,16,34,38,11,4
1990-10-25,12,15,30,41,42,2,11
1990-10-29,10,14,17,35,22,36,19
1990-11-01,14,21,23,33,38,24,28
1990-11-05,14,29,30,2,28,31,40
1990-11-08,7,24,29,35,18,19,9
1990-11-12,8,14,23,32,33,41,17
1990-11-15,1,24,41,33,4,20,27
1990-11-19,1,8,14,11,22,36,2
1990-11-22,21,30,41,42,17,27,39
1990-11-26,1,10,34,38,12,13,31
1990-11-29,1,26,29,30,13,22,28
1990-12-03,15,17,25,34,41,42,2
1990-12-06,26,30,34,41,19,28,4
1990-12-10,10,25,41,17,4,28,36
1990-12-13,10,30,35,32,4,20,28
1990-12-17,1,3,6,30,7,27,36
1990-12-20,24,25,35,2,22,37,40
1990-12-24,5,6,35,41,17,20,36
1990-12-27,15,33,34,35,25,31,37
1990-12-31,5,6,10,41,42,13,22
1991-01-03,5,23,25,32,13,20,27
1991-01-07,7,12,14,24,37,40,11
1991-01-10,3,10,21,24,26,34,37
1991-01-14,15,24,33,4,13,31,40
1991-01-17,3,5,15,30,38,28,2
1991-01-21,5,7,30,35,25,18,20
1991-01-24,5,6,21,30,32,14,11
1991-01-28,17,21,24,25,32,41,9
1991-01-31,25,33,42,7,18,20,39
1991-02-04,7,10,23,25,38,32,18
1991-02-07,8,21,24,2,18,27,31
1991-02-11,7,10,12,41,18,27,11
1991-02-14,10,14,24,32,35,30,39
1991-02-18,23,26,33,13,31,39,18
1991-02-21,16,25,26,32,13,19,36
1991-02-25,3,23,29,21,13,27,28
1991-02-28,8,10,16,25,2,18,27
1991-03-04,1,10,16,26,32,34,35
1991-03-07,3,5,6,30,35,13,37
1991-03-11,3,5,32,41,33,27,28
1991-03-14,15,29,33,34,42,10,9
1991-03-18,3,16,17,21,24,32,30
1991-03-21,12,25,32,35,38,9,11
1991-03-25,6,17,23,24,34,38,26
1991-03-28,10,25,26,34,2,19,28
1991-04-01,6,7,34,4,13,18,20
1991-04-04,8,17,21,42,7,2,39
1991-04-08,14,21,23,4,9,31,13
1991-04-11,12,41,17,4,20,27,39
1991-04-15,8,10,17,23,38,21,22
1991-04-18,1,7,21,30,42,9,31
1991-04-22,6,24,30,5,4,27,37
1991-04-25,5,15,34,38,41,36,13
1991-04-29,3,15,41,42,10,2,37
1991-05-02,3,12,17,29,5,28,40
1991-05-06,3,25,30,38,16,13,20
1991-05-09,10,24,25,26,2,13,19
1991-05-13,8,16,24,29,38,12,18
1991-05-16,15,24,33,41,35,2,22
1991-05-20,16,29,42,24,22,36,39
1991-05-23,10,17,26,42,2,19,28
1991-05-27,12,26,29,19,20,28,13
1991-05-30,8,12,17,23,10,37,40
1991-06-03,14,17,23,32,13,27,37
1991-06-06,21,34,8,2,36,37,39
1991-06-10,1,25,35,2,13,39,37
1991-06-13,14,26,32,33,38,34,22
1991-06-17,3,23,30,32,4,31,27
1991-06-20,10,17,23,33,38,19,39
1991-06-24,8,24,26,42,32,4,28
1991-06-27,1,3,14,30,33,42,9
1991-07-01,5,6,21,23,25,16,31
1991-07-04,3,14,26,25,9,18,39
1991-07-08,17,2,18,19,22,31,39
1991-07-11,5,10,12,21,30,35,6
1991-07-15,1,7,26,38,17,4,18
1991-07-18,3,29,35,34,4,11,13
1991-07-22,6,8,29,38,37,39,22
1991-07-25,1,38,8,18,19,20,36
1991-07-29,17,41,9,19,22,40,28
1991-08-01,3,10,26,24,4,18,20
1991-08-05,8,24,25,26,30,33,19
1991-08-08,16,34,41,42,9,37,13
1991-08-12,5,16,32,38,14,9,28
1991-08-15,6,38,9,13,18,28,19
1991-08-19,21,26,10,11,31,37,39
1991-08-22,1,12,35,42,9,37,18
1991-08-26,10,13,18,19,28,31,36
1991-08-29,7,12,15,35,41,22,39
1991-09-02,7,14,41,9,19,22,40
1991-09-05,5,16,25,34,30,13,28
1991-09-09,10,17,32,33,34,38,31
1991-09-12,1,3,17,42,34,4,28
1991-09-16,3,8,23,41,20,31,39
1991-09-19,12,25,32,38,11,20,27
1991-09-23,1,15,30,34,3,31,40
1991-09-26,14,21,33,34,2,9,13
1991-09-30,10,30,41,29,4,9,22
1991-10-03,8,16,35,2,9,13,20
1991-10-07,6,14,21,26,16,11,13
1991-10-10,10,24,19,20,37,40,4
1991-10-14,3,10,23,25,32,34,2
1991-10-17,1,30,42,18,39,40,19
1991-10-21,6,16,17,23,26,5,36
1991-10-24,15,16,23,24,41,19,40
1991-10-28,1,33,38,17,4,22,37
1991-10-31,1,14,33,41,42,6,20
1991-11-04,29,32,41,1,4,18,40
1991-11-07,21,29,32,9,36,39,11
1991-11-11,12,21,35,20,22,28,39
1991-11-14,14,15,17,41,31,39,22
1991-11-18,12,15,34,35,9,11,31
1991-11-21,1,16,23,33,10,2,19
1991-11-25,1,29,2,9,13,20,36
1991-11-28,1,7,16,24,38,33,20
1991-12-02,5,25,34,2,4,37,9
1991-12-05,3,34,41,42,11,36,19
1991-12-09,5,21,26,25,13,19,31
1991-12-12,6,15,24,38,9,28,37
1991-12-16,3,6,14,16,21,18,22
1991-12-19,15,17,21,30,38,29,22
1991-12-23,23,41,11,20,37,39,22
1991-12-26,3,34,27,28,37,40,13
1991-12-30,10,12,25,42,14,9,31
1992-01-02,8,10,26,18,27,37,22
1992-01-06,5,10,16,26,30,28,18
1992-01-09,6,21,23,26,8,2,18
1992-01-13,12,25,34,21,9,20,37
1992-01-16,8,10,17,32,35,5,2
1992-01-20,5,26,30,16,28,37,39
1992-01-23,29,30,35,16,2,19,28
1992-01-27,34,25,2,28,31,36,40
1992-01-30,3,5,23,35,9,22,13
1992-02-03,1,12,38,34,9,22,31
1992-02-06,7,17,35,29,11,13,31
1992-02-10,12,17,21,41,13,22,28
1992-02-13,12,25,30,38,41,23,40
1992-02-17,5,25,32,35,2,9,36
1992-02-20,6,12,17,13,27,28,39
1992-02-24,5,8,12,42,9,36,39
1992-02-27,5,6,24,32,16,19,28
1992-03-02,14,26,30,32,18,28,13
1992-03-05,3,7,12,15,34,29,40
1992-03-09,3,25,26,30,41,33,9
1992-03-12,21,29,30,32,17,19,31
1992-03-16,12,16,17,33,42,7,40
1992-03-19,3,32,41,4,28,37,18
1992-03-23,6,29,35,42,38,37,39
1992-03-26,8,15,42,4,18,40,36
1992-03-30,3,16,23,34,4,18,2
1992-04-02,12,16,32,35,4,40,27
1992-04-06,6,10,2,18,27,31,36
1992-04-09,1,5,6,8,12,42,36
1992-04-13,1,15,24,26,10,22,39
1992-04-16,16,21,33,38,20,28,19
1992-04-20,30,42,23,2,18,20,36
1992-04-23,8,25,29,23,13,20,40
1992-04-27,5,10,25,35,38,27,9
1992-04-30,8,10,30,34,42,12,13
1992-05-04,38,42,3,2,11,18,37
1992-05-07,5,10,12,30,13,40,2
1992-05-11,7,16,2,9,11,27,4
1992-05-14,15,29,32,35,13,22,39
1992-05-18,8,23,25,29,42,39,19
1992-05-21,3,8,17,21,32,9,40
1992-05-25,3,6,14,30,27,37,39
1992-05-28,8,26,41,34,11,13,37
1992-06-01,14,25,32,7,4,19,40
1992-06-04,1,23,25,35,38,9,4
1992-06-08,8,42,17,4,20,31,40
1992-06-11,6,8,16,42,15,9,19
1992-06-15,24,26,29,35,22,36,39
1992-06-18,3,29,13,27,31,36,4
1992-06-22,1,5,33,21,28,31,40
1992-06-25,35,42,12,11,13,19,31
1992-06-29,23,24,41,11,18,19,31
1992-07-02,6,8,10,15,26,41,16
1992-07-06,12,15,34,11,19,36,9
1992-07-09,5,8,33,34,38,19,28
1992-07-13,24,25,32,35,8,13,19
1992-07-16,16,21,30,33,38,41,42
1992-07-20,8,10,26,30,13,31,40
1992-07-23,8,16,17,25,29,23,19
1992-07-27,14,32,10,22,27,37,39
1992-07-30,6,8,35,11,22,36,31
1992-08-03,3,5,41,15,2,28,36
1992-08-06,24,25,30,34,14,28,40
1992-08-10,12,14,16,13,19,31,4
1992-08-13,5,14,17,23,8,2,39
1992-08-17,1,17,21,26,38,13,4
1992-08-20,10,21,23,42,25,2,20
1992-08-24,1,7,10,12,41,30,2
1992-08-27,5,7,10,30,29,11,22
1992-08-31,3,5,6,23,25,24,31
1992-09-03,10,17,21,41,23,9,37
1992-09-07,6,23,2,11,13,27,31
1992-09-10,24,29,33,41,18,19,36
1992-09-14,6,8,15,26,4,19,37
1992-09-17,5,6,34,23,11,18,31
1992-09-21,3,14,15,17,23,4,36
1992-09-24,8,14,7,19,28,31,40
1992-09-28,1,6,16,29,33,19,2
1992-10-01,23,29,32,34,4,13,37
1992-10-05,7,15,16,23,29,6,11
1992-10-08,7,23,41,42,33,13,18
1992-10-12,10,17,33,34,13,40,19
1992-10-15,33,35,38,1,13,18,39
1992-10-19,1,16,29,15,4,19,31
1992-10-22,5,6,7,25,10,11,19
1992-10-26,8,17,23,6,9,39,40
1992-10-29,17,32,33,34,13,36,37
1992-11-02,7,16,26,41,23,9,28
1992-11-05,30,33,41,3,2,9,22
1992-11-09,3,35,41,42,38,9,11
1992-11-12,7,23,33,34,13,36,39
1992-11-16,3,6,29,30,7,28,37
1992-11-19,1,10,23,32,21,13,19
1992-11-23,6,7,21,38,4,13,36
1992-11-26,8,17,34,9,19,39,13
1992-11-30,12,23,29,32,11,31,39
1992-12-03,15,17,26,33,42,28,31
1992-12-07,3,12,30,21,9,22,39
1992-12-10,8,21,9,22,27,39,28
1992-12-14,12,26,30,38,15,11,19
1992-12-17,17,33,42,4,11,40,28
1992-12-21,1,29,32,33,42,36,28
1992-12-24,7,12,17,21,38,2,40
1992-12-28,15,21,42,10,11,18,20
1992-12-31,6,25,7,13,20,28,36
1993-01-04,7,10,21,35,26,9,19
1993-01-07,3,8,14,35,19,27,36
1993-01-11,29,42,2,4,20,36,11
1993-01-14,1,7,33,34,6,22,36
1993-01-18,1,12,25,26,41,24,2
1993-01-21,1,10,14,35,17,19,28
1993-01-25,3,16,17,21,10,4,39
1993-01-28,3,10,1,4,20,22,39
1993-02-01,23,33,41,42,1,11,18
1993-02-04,3,6,34,38,31,37,40
1993-02-08,10,21,32,9,20,40,18
1993-02-11,5,6,7,15,32,42,4
1993-02-15,5,10,29,33,34,9,13
1993-02-18,3,8,12,33,41,42,1
1993-02-22,3,35,38,41,18,31,36
1993-02-25,15,23,25,38,8,22,28
1993-03-01,6,17,29,41,11,28,37
1993-03-04,16,21,42,1,18,19,36
1993-03-08,1,6,26,42,16,2,18
1993-03-11,6,7,10,32,28,39,20
1993-03-15,7,15,30,33,35,28,9
1993-03-18,5,10,16,24,35,17,9
1993-03-22,6,17,25,41,4,11,20
1993-03-25,7,15,26,5,19,36,40
1993-03-29,23,25,26,1,2,20,37
1993-04-01,3,6,10,17,11,18,13
1993-04-05,5,21,41,1,11,22,39
1993-04-08,7,8,34,14,19,31,36
1993-04-12,6,10,25,32,38,42,16
1993-04-15,8,25,38,6,9,18,19
1993-04-19,3,5,8,29,42,26,2
1993-04-22,3,5,6,23,34,27,4
1993-04-26,5,15,13,19,22,39,2
1993-04-29,8,26,2,18,27,31,9
1993-05-03,8,14,4,9,11,20,22
1993-05-06,14,17,24,26,8,18,36
1993-05-10,5,10,2,18,37,39,40
1993-05-13,10,21,25,34,35,20,27
1993-05-17,35,42,13,20,36,39,22
1993-05-20,24,26,41,29,9,22,31
1993-05-24,14,38,41,20,31,39,28
1993-05-27,5,6,15,25,23,18,31
1993-05-31,7,14,21,26,42,33,36
1993-06-03,5,24,26,42,32,4,37
1993-06-07,3,6,7,10,16,19,4
1993-06-10,1,8,25,41,4,27,22
1993-06-14,7,32,34,2,4,31,40
1993-06-17,8,12,26,35,18,36,9
1993-06-21,3,10,21,28,36,37,13
1993-06-24,14,16,21,29,5,13,22
1993-06-28,15,32,38,13,22,28,4
1993-07-01,10,16,34,9,18,36,20
1993-07-05,3,5,23,32,4,28,9
1993-07-08,14,24,25,9,28,39,31
1993-07-12,8,14,23,35,6,4,36
1993-07-15,23,42,17,9,11,13,37
1993-07-19,12,15,21,24,42,38,9
1993-07-22,5,10,26,32,38,42,20
1993-07-26,7,8,21,42,32,9,18
1993-07-29,24,29,30,32,35,38,11
1993-08-02,7,17,35,6,9,36,40
1993-08-05,30,32,35,41,14,4,9
1993-08-09,14,16,17,30,33,9,40
1993-08-12,5,24,34,41,32,2,40
1993-08-16,6,8,14,17,41,11,18
1993-08-19,25,4,11,19,20,40,37
1993-08-23,12,14,26,23,28,36,40
1993-08-26,21,26,4,11,27,31,36
1993-08-30,24,26,42,23,31,37,39
1993-09-02,1,3,8,26,34,2,20
1993-09-06,12,23,35,41,13,36,27
1993-09-09,21,32,35,30,11,36,37
1993-09-13,7,10,21,34,38,17,40
1993-09-16,3,5,38,2,4,19,28
1993-09-20,5,6,14,29,32,28,36
1993-09-23,6,8,35,20,22,28,2
1993-09-27,1,8,23,34,38,18,39
